"GLIMS_ID"	"Latitude"	"Longitude"	"Type"	"M_Basin"	"Basin"	"Sub_basin"	"Area"	"Altitude"	"Dist_gr"	"Gr_fed"	"LithologyGLiM"	"GeologyHodgesYin"	"lake_ar"	"catchm_ar"	"glacier_ar"	"glac_cov"	"dist_lg"	"deb_ar"	"deb_cov"	"no_lakes_ctchm"	"Z_min"	"Z_q25"	"Z_q50"	"Z_mean"	"Z_q75"	"Z_max"	"Z_diff"	"mean_asp_ctchm"	"mean_slp_ctchm"	"mean_slp_250m"	"mean_slp_500m"	"mean_slp_1000m"	"no_eq_tot"	"eq_dep_min"	"eq_dep_q25"	"eq_dep_q50"	"eq_dep_mean"	"eq_dep_q75"	"eq_dep_max"	"no_eq_lt50km"	"no_eq_lt100km"	"no_eq_lt150km"	"no_eq_lt200km"	"no_eq_lt250km"	"no_eq_lt300km"	"no_eq_lt350km"	"no_eq_lt400km"	"eq_mag_min"	"eq_mag_q25"	"eq_mag_q50"	"eq_mag_mean"	"eq_mag_q75"	"eq_mag_max"	"no_eq_gtM25"	"no_eq_gtM30"	"no_eq_gtM35"	"no_eq_gtM40"	"no_eq_gtM45"	"no_eq_gtM50"	"no_eq_gtM55"	"no_eq_gtM60"	"no_eq_gtM65"	"no_eq_gtM70"	"no_eq_gtM75"	"Code"	"Major_Unit"	"bio1_lake"	"bio2_lake"	"bio3_lake"	"bio4_lake"	"bio5_lake"	"bio6_lake"	"bio7_lake"	"bio8_lake"	"bio9_lake"	"bio10_lake"	"bio11_lake"	"bio12_lake"	"bio13_lake"	"bio14_lake"	"bio15_lake"	"bio16_lake"	"bio17_lake"	"bio18_lake"	"bio19_lake"	"bio1_ctchm"	"bio2_ctchm"	"bio3_ctchm"	"bio4_ctchm"	"bio5_ctchm"	"bio6_ctchm"	"bio7_ctchm"	"bio8_ctchm"	"bio9_ctchm"	"bio10_ctchm"	"bio11_ctchm"	"bio12_ctchm"	"bio13_ctchm"	"bio14_ctchm"	"bio15_ctchm"	"bio16_ctchm"	"bio17_ctchm"	"bio18_ctchm"	"bio19_ctchm"	"GLOF"	"Date"
"24"	"GL069623E35505N"	35.505	69.623	"M(e)"	"Amudarya"	"Surkhab"	"Surkhab"	0.263	4542	90	1	"mixedSeds"	"Indian Plate"	270107	2988707	833664	0.279	5	32158	0.039	0	4544	4627	4706	4718	4790	5072	528	-0.03	0.41	0.498939364106122	0.460993144653441	0.434222633761408	469	5.6	35	101.9	97.41	134.58	318.5	139	222	400	448	463	466	469	469	3.2	4	4.3	4.3	4.6	6.9	469	469	454	343	120	16	7	1	1	0	0	"Quiangtang terrane"	"Indien Plate"	-4.42	104	299	811.7	13.41	-21.22	34.6	-6.59	7.11	7.11	-15.29	840.7	189.4	4	89	546	15	15	260.5	-4.62	103.9	299	811.73	13.22	-21.41	34.61	-6.79	6.95	6.95	-15.49	838.8	187.3	4	89	542.7	14.9	14.9	261.1	0	NA
"26"	"GL069635E35520N"	35.52	69.635	"M(e)"	"Amudarya"	"Surkhab"	"Surkhab"	0.027	4191	1080	1	"mixedSeds"	"Indian Plate"	27270	4716563	969131	0.205	1052	38529	0.04	1	4193	4533	4645	4620	4746	5070	877	0.37	0.45	0.268692245518639	0.381948512060784	0.46914399863521	490	5.6	35	103.35	99.27	135.75	318.5	142	225	411	466	483	487	490	490	3.1	4	4.3	4.3	4.6	6.9	490	490	474	358	124	17	7	1	1	0	0	"Quiangtang terrane"	"Indien Plate"	-2.1	103	299	811.2	15.6	-18.9	34.6	-4.1	9.4	9.4	-13	737	175	4	88	488	15	15	212	-4.23	103.6	299	811.62	13.6	-21.02	34.6	-6.35	7.35	7.35	-15.09	822.8	186	4	88.9	534.5	15	15	253.2	0	NA
"37"	"GL069790E35571N"	35.571	69.79	"M(o)"	"Indus"	"Kabul"	"Panjsher-Ghorband"	0.013	4309	0	1	"mixedSeds"	"Indian Plate"	13317	1026913	192083	0.187	0	167741	0.873	1	4296	4381	4496	4500	4596	4838	542	0.27	0.57	0.421743317370011	0.571264296555173	0.576680365873309	697	5.6	71.39	113.76	119.71	160.4	318.5	149	259	492	573	686	694	697	697	3.1	4	4.3	4.32	4.6	6.9	697	697	678	518	180	30	14	2	1	0	0	"Quiangtang terrane"	"Indien Plate"	-3.5	102	297	812	14.2	-20.2	34.4	-5.6	8.1	8.1	-14.4	827	184	4	88	534	16	16	253	-3.57	102	297	812.02	14.14	-20.28	34.4	-5.67	8.02	8.02	-14.47	825.7	182.2	4	88.1	531.3	15.7	15.7	253.6	0	NA
"50"	"GL069865E35320N"	35.32	69.865	"M(o)"	"Indus"	"Kabul"	"Panjsher-Ghorband"	0.038	4526	90	1	"Metamorphics"	"Indian Plate"	38699	1110269	84533	0.076	0	32900	0.389	0	4533	4603	4694	4713	4806	5025	492	1.18	0.51	0.46435879582324	0.509716662152571	0.529740512583447	450	5.6	33	98.2	90.89	122	364.9	134	230	407	442	446	448	449	450	3.2	4	4.3	4.33	4.6	6.9	450	450	435	336	125	20	9	2	1	0	0	"Quiangtang terrane"	"Indien Plate"	-4	104	298	818.4	13.9	-20.9	34.8	-6.2	7.6	7.6	-15	693	148	5	88	432	17	17	226	-4.33	104	298	818.33	13.62	-21.2	34.8	-6.55	7.32	7.32	-15.29	698	149	4.9	88.4	438.2	17	17	226.9	0	NA
"51"	"GL069872E35323N"	35.323	69.872	"M(o)"	"Indus"	"Kabul"	"Panjsher-Ghorband"	0.054	4408	742.158996582	1	"Metamorphics"	"Indian Plate"	55269	1839735	84533	0.046	645	32900	0.389	1	4402	4529	4605	4630	4728	5029	627	0.95	0.48	0.43405683790034	0.491191394300254	0.459847109856635	457	5.6	33	99.4	91.16	122.1	364.9	135	232	412	449	453	455	456	457	3.2	4	4.3	4.33	4.6	6.9	457	457	442	341	128	21	9	2	1	0	0	"Quiangtang terrane"	"Indien Plate"	-3.6	104	298	818.9	14.4	-20.4	34.8	-5.7	8.1	8.1	-14.5	646	140	5	88	408	17	17	201	-3.96	104	298	818.55	14	-20.81	34.8	-6.14	7.7	7.7	-14.91	676.1	145.3	4.9	88.4	427.2	17.1	17.1	214.4	0	NA
"53"	"GL069880E35800N"	35.8	69.88	"M(o)"	"Amudarya"	"Surkhab"	"Surkhab"	0.018	4339	763.675354004	1	"acidVolcanics"	"Indian Plate"	18681	2930440	47335	0.016	792	11635	0.246	0	4346	4532	4642	4649	4764	5014	668	0.98	0.52	0.565832017607082	0.601891695598374	0.539135411081141	1307	5.6	100	150.9	147.21	206.75	318.5	181	322	642	854	1281	1301	1307	1307	3.1	4.1	4.3	4.31	4.5	7.5	1307	1307	1266	981	311	55	22	8	3	2	0	"Quiangtang terrane"	"Indien Plate"	-3.33	101	296	809.69	14.2	-20	34.11	-5.43	8.18	8.18	-14.22	619.9	152.6	3.1	89.9	422.6	12.3	12.3	164.5	-4.92	101	296	810.23	12.73	-21.46	34.19	-7.04	6.69	6.69	-15.74	690.6	165.6	3.7	89.5	465.5	14.3	14.3	188.5	0	NA
"54"	"GL069884E35390N"	35.39	69.884	"M(o)"	"Indus"	"Kabul"	"Panjsher-Ghorband"	0.027	4476	630	1	"Metamorphics"	"Indian Plate"	27666	2319302	533366	0.23	51	424389	0.796	2	4473	4554	4633	4671	4784	5027	554	-0.55	0.47	0.227512176020003	0.323314634062589	0.453161631308102	533	5.6	48.1	103.3	98.67	133.1	364.9	138	240	458	514	528	531	532	533	3.1	4	4.3	4.32	4.6	6.9	533	533	514	391	141	23	11	3	1	0	0	"Quiangtang terrane"	"Indien Plate"	-3.98	103	297	816.78	13.93	-20.68	34.7	-6.08	7.72	7.72	-14.88	742	173.3	5	90.2	500	18.2	18.2	215.4	-4.32	103	297	816.71	13.61	-21.05	34.69	-6.49	7.37	7.37	-15.22	741.1	172.6	5	90	498.4	18.3	18.3	216	0	NA
"55"	"GL069888E35797N"	35.797	69.888	"M(o)"	"Amudarya"	"Surkhab"	"Surkhab"	0.022	4410	0	1	"acidVolcanics"	"Indian Plate"	22421	1664129	150004	0.09	0	36912	0.246	0	4426	4530	4643	4651	4758	4951	525	-0.22	0.54	0.334014864865242	0.537373277073389	0.550988301256655	1319	5.6	100	151.19	147.41	206.84	318.5	181	324	646	861	1293	1313	1319	1319	3.1	4.1	4.3	4.31	4.5	7.5	1319	1319	1277	991	313	56	22	8	3	2	0	"Quiangtang terrane"	"Indien Plate"	-4.2	101	296	810	13.3	-20.8	34.1	-6.3	7.3	7.3	-15.1	694	166	4	89	465	15	15	189	-4.73	101	296	810.27	12.85	-21.29	34.15	-6.86	6.83	6.83	-15.58	698.8	165.2	3.8	88.9	466.3	14.9	14.9	192.4	0	NA
"56"	"GL069894E35389N"	35.389	69.894	"M(o)"	"Indus"	"Kabul"	"Panjsher-Ghorband"	0.012	4602	201.246124268	1	"acidPlutonics"	"Indian Plate"	12156	507054	102978	0.203	0	64925	0.63	1	4602	4689	4829	4812	4929	5027	425	-0.92	0.56	0.471477465266094	0.605317360160586	0.578446028931446	540	5.6	48.67	103.35	99	132.8	364.9	137	243	464	520	535	538	539	540	3.1	4	4.3	4.32	4.6	6.9	540	540	521	395	143	23	11	3	1	0	0	"Quiangtang terrane"	"Indien Plate"	-4.9	103	297	816.6	13	-21.7	34.7	-7.2	6.8	6.8	-15.8	756	169	5	89	495	18	18	232	-4.87	103	297	816.62	13.04	-21.66	34.69	-7.15	6.83	6.83	-15.77	755.9	168.9	5	89	494.6	18	18	232	0	NA
"62"	"GL069914E35368N"	35.368	69.914	"M(o)"	"Indus"	"Kabul"	"Panjsher-Ghorband"	0.039	4487	324.499603271	1	"Metamorphics"	"Indian Plate"	40129	2427368	36105	0.015	268	8240	0.228	0	4489	4559	4641	4669	4768	5025	536	1.18	0.44	0.295672638539541	0.383847088630965	0.445351295816225	534	5.6	40.08	102.05	96.4	127.97	364.9	143	248	466	519	530	532	533	534	3.1	4	4.3	4.32	4.6	6.9	534	534	515	390	142	23	11	3	1	0	0	"Quiangtang terrane"	"Indien Plate"	-3.7	103	297	817.5	14.2	-20.5	34.7	-5.8	8	8	-14.6	703	146	5	88	438	17	17	232	-4.31	103	297	817.4	13.61	-21.09	34.7	-6.5	7.38	7.38	-15.22	716.1	153.9	4.9	88.6	456.6	17.6	17.6	230.2	0	NA
